epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.1804524979640527,0.14170771613635552,1.108316883540184,0.18838302657894548
1,0.001,1.0538128085972107,0.2726843265525445,1.0140425754417683,0.28296375194055623
2,0.001,0.9899985022151593,0.32241035642585125,0.9605611687891004,0.3309641582035896
3,0.001,0.9384226393453854,0.3920150792671641,0.9067274359521121,0.48287639682789
4,0.001,0.8994134517060113,0.4101300630481045,0.8969034377041913,0.28336422065521966
5,0.001,0.87056151861997,0.4197287757861117,0.8529683180563581,0.41796929543528805
6,0.001,0.8472284932726437,0.4291130573033363,0.8314943940172428,0.5006443340641961
7,0.001,0.8258069944135922,0.4733711886603552,0.813776087211433,0.43162272714420685
8,0.001,0.813816015253362,0.4785683691378257,0.8029630684822072,0.45826255037173796
9,0.001,0.804513922057201,0.48414058103801816,0.8037646541064283,0.4065399887857455
10,0.001,0.7915171433969871,0.5181407009042057,0.813109880372901,0.33921872056772195
11,0.001,0.7874303810375253,0.5286469030925207,0.7913841167882218,0.5941474390775932
12,0.001,0.7823366055783537,0.534851070166477,0.7829953377897089,0.4512982291803167
13,0.001,0.7748925796489126,0.5394035698560397,0.7627316883523089,0.6160447525714634
14,0.001,0.7681943067570323,0.5543441462310263,0.7558951763276407,0.6738421908271106
15,0.001,0.7667890787124634,0.5533160186119809,0.7573528280636718,0.598437260610086
16,0.001,0.7616092347607171,0.5756233403197025,0.752568598898669,0.6446096994197728
17,0.001,0.7624188311321219,0.556778802612787,0.7513839455939133,0.6199042806663471
18,0.001,0.7552450778558082,0.5845757265541114,0.7555786185014263,0.6753468477100792
19,0.001,0.7578195179860616,0.5690331889028759,0.7514818210760549,0.6092320708840041
20,0.001,0.7550839978395049,0.5701420440407602,0.7544371910803449,0.5591378471202086
21,0.001,0.7484583615027752,0.6136566952412706,0.7425286534806372,0.6362390299035512
22,0.001,0.7468988692637571,0.6164410959281114,0.7386987143686272,0.7020690766997219
23,0.001,0.7487221685881468,0.6152834195592259,0.7418612196717158,0.6506502468884146
24,0.001,0.7455479766904693,0.6192423109630375,0.7414162955729818,0.7191941534938431
25,0.001,0.7447719371195921,0.6261841469566329,0.7555182486123831,0.4758799925120859
26,0.001,0.7434337759755322,0.6163542137822634,0.7755916832961743,0.4323453929959646
27,0.001,0.739163973282293,0.6396032115881592,0.7398643584471201,0.6838027586411374
28,0.001,0.7400814694227632,0.6289456235867527,0.7371069433289209,0.734663531619839
29,0.001,0.7410185699610367,0.6548008220255965,0.7378597838777892,0.6991649971734217
30,0.001,0.7363441377570948,0.6551993277457451,0.7432377652841097,0.7396096918065869
31,0.001,0.7364203598081451,0.6585091422054471,0.7435953401114969,0.5538134061731971
32,0.001,0.7348399088554776,0.6512250915944018,0.7412445027758003,0.6581184324171433
33,0.001,0.7345057203597629,0.658800239606939,0.7548567350481598,0.47965904985805846
34,0.001,0.7301596329384243,0.6800123774094412,0.7331477276952257,0.6889356099737964
35,0.001,0.7294212254052309,0.6831169567807915,0.73460692686247,0.7218258923087802
36,0.001,0.730004979163101,0.6739024416936371,0.7328010736445917,0.7511039670219721
37,0.001,0.7301495271859709,0.6598852847336688,0.7336675292703773,0.6707994981245534
38,0.001,0.7304927503939757,0.6625689385416224,0.7332375388444615,0.7083923689779587
39,0.001,0.7295080165273136,0.6689026661897987,0.7320271335857015,0.7503755816592035
40,0.001,0.726635456699686,0.6974786795126768,0.7278711996524191,0.7530705700519236
41,0.001,0.7274769360257178,0.6882650539295672,0.7297809140019778,0.7269743217759562
42,0.001,0.7265649652972663,0.6879511395011029,0.7295692005169682,0.7558352266235024
43,0.001,0.7242243787677017,0.7036049271101196,0.7277900907050021,0.736900746056516
44,0.001,0.7256773040466702,0.689164380404716,0.7315565798713058,0.7508873234992777
45,0.001,0.7242818401031887,0.6948803975400939,0.7258849772845279,0.7324684188007037
46,0.001,0.7268160581588745,0.6834114329446608,0.7307577185838384,0.7570123009391362
47,0.001,0.7235241765828476,0.707042987865768,0.7269664877660754,0.7418216444849475
48,0.001,0.7217042065158332,0.7170482988764072,0.7264292269143802,0.7735160591375824
49,0.001,0.7213087604217923,0.7117019808415165,0.7286947981648806,0.7667409658995616
50,0.001,0.7221618946065608,0.6970852437288004,0.728363629263586,0.7676043580275625
51,0.001,0.7185886090563744,0.722999307321423,0.7268164479167758,0.7480836381535136
52,0.001,0.7206052369678143,0.7075493898069813,0.7264269913967685,0.7675202899324728
53,0.001,0.7202147079497269,0.7189868133686916,0.7251591071123961,0.7556089947926542
54,0.001,0.7191622251087857,0.7217277475495864,0.7246250387343188,0.784126070287143
55,0.001,0.7172862168439885,0.7294861960236667,0.726814288870168,0.7218155660090085
56,0.001,0.7188687533447423,0.7195172628239145,0.7277221685029786,0.7673177983954543
57,0.001,0.7165328746603936,0.7317118276556227,0.7304995192761,0.74473239436432
58,0.001,0.7177293675461995,0.7283265430912841,0.7251788171702249,0.7717016983432784
59,0.001,0.7165186177823961,0.7286997967867397,0.7256698420655254,0.7768030111823433
60,0.001,0.7168195640917906,0.7283171355312611,0.7230720432253409,0.7647982420014148
61,0.001,0.7174213239827107,0.7360183150030645,0.7241303820005605,0.7566154636593599
62,0.001,0.7161927714790266,0.7367763042676018,0.7235258603981302,0.7352164932991299
63,0.001,0.7155529512572534,0.7369341469552073,0.72296977363689,0.7525337748723924
64,0.001,0.717499218036219,0.7256758968488842,0.738616156669646,0.7384989239781219
65,0.001,0.7147235059246575,0.731355587035825,0.7228668326757629,0.7431859045484801
66,0.001,0.7119963421035058,0.7480425463259726,0.7257191111427874,0.7912303056686079
67,0.001,0.7126358962550605,0.7426229913873172,0.721906685340725,0.7746009276542142
68,0.001,0.7116864802911109,0.7460955829258714,0.7223381067360256,0.7872069869373864
69,0.001,0.7128020303765523,0.7565848842161862,0.7222409735263233,0.7609909698191241
70,0.001,0.7104858765282582,0.7482830846955092,0.7249460418764668,0.7181731502923011
71,0.001,0.7110987483840627,0.7591513085461591,0.7221709257051367,0.7940128661142745
72,0.001,0.7095657630065053,0.7618273332014558,0.7220150661987471,0.7666945085851281
73,0.001,0.7098410946806681,0.7659791698138718,0.7221496746268377,0.7808903707466652
74,0.001,0.7129158248606416,0.7527335972162067,0.7221992808023274,0.7860642901136236
75,0.001,0.7127880957937732,0.7535984948874762,0.7237423599605829,0.7804174307668922
76,0.001,0.7103684311060562,0.7637145471289204,0.7211528417395568,0.7783826700011862
77,0.001,0.7112687789287764,0.7610442683903582,0.7202590867285539,0.7683152482699633
78,0.001,0.710900220059857,0.7628510300196307,0.7212079229183905,0.7885781663069437
79,0.001,0.7104612490565506,0.7691836465619668,0.7233666898956983,0.7829339057921589
80,0.001,0.7088174045700388,0.7676366218672588,0.7204749780336202,0.7823084039754864
81,0.001,0.7090270402505225,0.7711830264584505,0.7216289099902106,0.7906597484426114
82,0.001,0.709571897983551,0.7639831970502736,0.7214638003161256,0.7570537540460607
83,0.001,0.7062377521057719,0.7718974969209262,0.7210351278320928,0.778712677410476
84,0.001,0.7068504992219591,0.7667715621870846,0.7243672670383917,0.789279689376679
85,0.001,0.7075987120264584,0.7730727784339576,0.721801568466631,0.7641512308815327
86,0.001,0.7069357793355725,0.7686475345451798,0.721757976865341,0.7939270671795572
87,0.001,0.7037917387854192,0.785010239427367,0.7208107586248889,0.7805046802621006
88,0.001,0.7058090801091538,0.7775915787678076,0.7207233837105705,0.783324816855605
89,0.001,0.7055331987818492,0.7824312327152498,0.721031266351668,0.7857495162214478
90,0.001,0.7039867436762938,0.7893752610724332,0.7203960749159701,0.7978156838056196
91,0.001,0.7055796778079161,0.7724700171203673,0.720561761938503,0.7962129612712021
92,0.001,0.7044995353393948,0.792137063179053,0.7203170612130061,0.8061285231325247
93,0.001,0.7043879210334463,0.7870389350449429,0.7206213024758499,0.7950865247007902
94,0.001,0.706251581305081,0.7748442898921809,0.7211574412185923,0.7985411045374737
95,0.001,0.7044323381689406,0.7792094174044112,0.7202569643910808,0.7906043960663773
96,0.001,0.7051577930597915,0.7897834691912288,0.7208316632941194,0.803624819651873
97,0.001,0.7043148322203725,0.7863712025183675,0.7210790467628596,0.8017575773571131
98,0.001,0.7027509476720672,0.7969930784223828,0.7190354854898783,0.79633570530696
99,0.001,0.7048402201269091,0.7801652913798368,0.718787760114853,0.7927886623061389
100,0.001,0.7042842058791328,0.7870921135845859,0.7201187544992425,0.7975948198266316
101,0.001,0.7025542326809204,0.797209674164409,0.7204204726768669,0.8079091617615254
102,0.001,0.7026571465521744,0.7921214315373222,0.7203381040184812,0.8080658584083376
103,0.001,0.7021151566013848,0.7895679089640691,0.7187726333565657,0.7932070672824123
104,0.001,0.7022122980393085,0.7957324704385101,0.720963183194208,0.8030790682732052
105,0.001,0.7006116896560511,0.8025111600649433,0.720322766087272,0.8049911256398908
106,0.001,0.7010967160008618,0.8019642330258512,0.7193547352938585,0.8044622842142848
107,0.001,0.7032008484466789,0.7893890648021951,0.718180150442331,0.7954995867062384
108,0.001,0.702185844637684,0.8002591413336945,0.7184800533875918,0.8006565336679344
109,0.001,0.7024810157485843,0.8029697780231352,0.7182197869205597,0.7976710435965444
110,0.001,0.7006974091234895,0.8027219200600962,0.7178914028764839,0.8009526994062675
111,0.001,0.7007938946030804,0.8004964030173717,0.71897904157028,0.7986465879838403
112,0.001,0.701535102018376,0.8007262092543093,0.719447755935708,0.8095445791774944
113,0.001,0.7010814181922638,0.8016621358761873,0.7190124814550031,0.8030333377286551
114,0.001,0.7017189795823441,0.8012549302858957,0.7186740410923195,0.8041393752301305
115,0.001,0.7007274480210137,0.8022789668802947,0.7199762391067193,0.8087954657892115
116,0.001,0.7004678648771699,0.7986716730819349,0.7190108506078147,0.806722763779591
117,0.001,0.7005699559585336,0.79792145029288,0.7188270560605272,0.7955040426255514
118,0.001,0.7000819945458284,0.8078138985814516,0.7202876624621442,0.8085610651698877
119,0.001,0.7004292932982298,0.8076487277544767,0.7193500534673049,0.8015264505394163
120,0.001,0.7003017344425634,0.8038464463708178,0.719424078925471,0.8071512527239728
121,0.001,0.7003292220154989,0.8044964297910225,0.7196915139767333,0.8084617642987707
122,0.001,0.7006706613855264,0.8070119597371204,0.7197404231365756,0.8049979286134812
123,0.001,0.7001519412109533,0.8022504057261453,0.7193601852647779,0.8036271967847438
124,0.001,0.6998929504266719,0.805899771157722,0.7186175695454723,0.801830133769353
125,0.001,0.6998859256813207,0.8089941080122169,0.7189427190645098,0.8031532638598695
126,0.001,0.700121156333648,0.80140156906102,0.7191724231545354,0.8040012900674971
127,0.001,0.7003275782791609,0.8116312154579353,0.7186833458276473,0.803039360104278
128,0.001,0.6990894318855915,0.8092930193834424,0.7191179709153658,0.808879049390861
129,0.001,0.6999248899135393,0.8031618444911017,0.7184885636487172,0.7980761489622418
130,0.001,0.6997838806860226,0.8010539401970364,0.7189235214081983,0.804090211802337
131,0.001,0.6986608775620607,0.8134457157701905,0.7185946774696419,0.806103252269723
132,0.001,0.6991124669301141,0.804761292030938,0.7187175627859851,0.8059457751722027
133,0.001,0.6990919082435136,0.8046021738491007,0.7192700928060407,0.8074489662802943
134,0.001,0.6981388582396753,0.8102451329066651,0.7192468112775825,0.8061849744435572
135,0.001,0.6986175959872216,0.8063226193290989,0.7188838810377328,0.8066092190718255
136,0.001,0.6995258994938172,0.8113837081385643,0.7188395703647873,0.8079302873350069
137,0.001,0.6986538497443052,0.8117036310551333,0.7186243247894257,0.8058201989351331
138,0.001,0.6986985556858102,0.809869003856717,0.7185188182337489,0.8082656777363042
139,0.001,0.6983909078480042,0.8165354849996234,0.7186544349037883,0.8074720179607865
140,0.001,0.700009554931798,0.8040741871606052,0.718373798606643,0.804227283284062
141,0.001,0.6983349986912049,0.8120055622318759,0.719082448073447,0.8092521991583546
142,0.001,0.6990961389443309,0.8124970952398204,0.7187733445674296,0.8059928076577543
143,0.001,0.6981465546126219,0.8095090964030747,0.7186172298524199,0.8050238227903993
144,0.001,0.6990847341793099,0.8100949554824545,0.7187516434397191,0.8076433921626145
145,0.001,0.6991418059339228,0.8078604790906797,0.7189328867403096,0.8095916759005296
146,0.001,0.6986877389789856,0.8148921949037624,0.7189061099069525,0.808278488120916
147,0.001,0.6990934985200155,0.8057009553431734,0.7187961489534561,0.8070618565031369
148,0.001,0.698493481296854,0.8063100891360765,0.718538423811733,0.8063987185328464
149,0.001,0.6982079099134072,0.8146953850397339,0.7186903458246043,0.8062798096231624
