epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.073428098589946,0.2295666630295277,0.9574697669428534,0.3231898332017277
1,0.001,0.9141880493515577,0.31390300901895596,0.8691061819103402,0.3346234778615713
2,0.001,0.8454445590957617,0.38404930184115715,0.8156235355421156,0.4706849098976063
3,0.001,0.8160827058630112,0.39956592471659463,0.8064458309154047,0.46352332210422065
4,0.001,0.8020022521034266,0.40571637910956676,0.7945952572682144,0.3996902055014021
5,0.001,0.7880848623239077,0.4595454978163339,0.7748948169273543,0.5402751396936171
6,0.001,0.7806463351425452,0.4651618387585488,0.7774049364192538,0.4749897685264801
7,0.001,0.777361796452449,0.47175275711335113,0.7855463376729039,0.38343297359142475
8,0.001,0.7705586951894637,0.5000774476591955,0.7759691759199858,0.6069682395550661
9,0.001,0.7662407588691283,0.5112847716737711,0.7582269533037681,0.5413434183002054
10,0.001,0.7601584115853677,0.5213368507427367,0.7634662490495494,0.5156709330363162
11,0.001,0.7572247321980122,0.5220342629856296,0.7515844887411091,0.5749927086715833
12,0.001,0.7547575947947991,0.5303417809267844,0.7428714247580221,0.6317342602520531
13,0.001,0.7481297529660739,0.5738337441056057,0.7464567597635882,0.6420665203068794
14,0.001,0.7467777316386883,0.5821546332912878,0.7377248717789155,0.6543949717455693
15,0.001,0.7455134325875685,0.5777139949414055,0.7475988098662275,0.5971522507889413
16,0.001,0.743343212761176,0.5825093021785425,0.739897042780008,0.5818554258436587
17,0.001,0.7380671470593183,0.603997397935778,0.7397923110847131,0.6418880405703509
18,0.001,0.7382838916129026,0.6022262918983164,0.7377570263096984,0.7046368587350174
19,0.001,0.7340763760491823,0.62181064115721,0.7351027421090423,0.6113310650877878
20,0.001,0.7368102285724419,0.6142180367992067,0.7427974739392191,0.5258834204077063
21,0.001,0.7332636351004626,0.6143761346251851,0.7312382378743034,0.7109691026441954
22,0.001,0.7298079560964535,0.6357988342058125,0.7326338050765356,0.6771306268276227
23,0.001,0.7314815392287878,0.6461860816983515,0.7409605544141556,0.548207830515547
24,0.001,0.732290347894797,0.6358608334822019,0.7312960880361354,0.6978810771981591
25,0.001,0.7312151250930933,0.6185940736933314,0.7360199384591644,0.6893798672380185
26,0.001,0.7264831241888877,0.6337478716939469,0.7261828968680623,0.7286149178810564
27,0.001,0.7253752240958886,0.6479798539819559,0.7350031263391736,0.5985785148462448
28,0.001,0.726231378240463,0.6418396966288876,0.7287897297423261,0.7259849521871632
29,0.001,0.7253195341580954,0.6594419981068698,0.7283230787965919,0.6973455547280477
30,0.001,0.7221951326116537,0.6806109459836369,0.7252546970883954,0.7083945031630112
31,0.001,0.7253322621377615,0.6510097345720214,0.727275243794567,0.683735573621363
32,0.001,0.7210978462527959,0.6784416438550135,0.7320348465488449,0.7396108927327435
33,0.001,0.7187443390870706,0.6851471156126947,0.7290378315195384,0.7125164483839627
34,0.001,0.7208929502238066,0.6853422019662349,0.7386288554353995,0.7073400516048173
35,0.001,0.7183525959650675,0.692824254421121,0.7301302710202225,0.6586787009707319
36,0.001,0.7187807290599897,0.6876775683405073,0.7239500302511355,0.7075079172127023
37,0.001,0.7192742572380946,0.6801494781835437,0.7278712795577496,0.6946442658109281
38,0.001,0.7167476755686295,0.6875527958453692,0.7221793914726541,0.723633722155759
39,0.001,0.7185224695847585,0.6833966401976702,0.7326432148259366,0.7258703713568354
40,0.001,0.7161372781564028,0.7042484510075196,0.7208653626612909,0.7479731437143027
41,0.001,0.7153573043835468,0.7012254072466031,0.7220001830486878,0.7445050946825357
42,0.001,0.7124672216864733,0.7160997855597767,0.7221127322632891,0.7364463807419735
43,0.001,0.7158624848876244,0.7074867263916643,0.7250567432707616,0.7294231237671106
44,0.001,0.7124363942406117,0.7269580213693371,0.7212017389174155,0.7532228632368293
45,0.001,0.710725263811839,0.7152127586778527,0.7193420627816233,0.7370740457630353
46,0.001,0.7121594205307655,0.7234126164823849,0.7192548660706924,0.7555973214392034
47,0.001,0.7115596468823079,0.7149508965535059,0.7240271191285605,0.7642788347757018
48,0.001,0.7102059128765876,0.7346484156041974,0.7193801806769817,0.7452823064361176
49,0.001,0.7102821794075843,0.7246627073222981,0.7199914376042716,0.7543422380052308
50,0.001,0.7100665717361829,0.7254049319571251,0.7207113960030442,0.7501009670460385
51,0.001,0.7083992194861938,0.7436331726479756,0.7218116436358756,0.7556286121175786
52,0.001,0.7106353596617014,0.7204670629071079,0.719589970099636,0.7464908561913899
53,0.001,0.7082063514643755,0.7362697772137005,0.7204036330291465,0.743003627081179
54,0.001,0.7082492938408484,0.7357535952425527,0.7225216198211748,0.7510211869205577
55,0.001,0.7074291474926167,0.7438652808988068,0.719147808878431,0.7754871439503579
56,0.001,0.7065946801732748,0.748489592297273,0.7190411066428952,0.759620715904361
57,0.001,0.7063191292377619,0.7347040001106284,0.7205601390284246,0.7756096948810328
58,0.001,0.7040054419865975,0.7519004580240833,0.7211745876661488,0.7568026500659475
59,0.001,0.7063174373350847,0.7452897294260298,0.7188023153248884,0.77423946513332
60,0.001,0.7030432545221769,0.7619878726887015,0.7195872965909149,0.782934064067868
61,0.001,0.703752687248664,0.763500106589629,0.7177795264846079,0.7584344490147065
62,0.001,0.704109100290598,0.7494084572075349,0.7180901844431282,0.7775353069941868
63,0.001,0.7028683644647782,0.7698258835005556,0.7172236358615715,0.7837065635635883
