epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.3447083830833435,0.004452746143373304,1.3779070377349854,0.005577087427633232
1,0.001,1.3405632972717285,0.005530674863454118,1.3793938159942627,0.005577087427633232
2,0.001,1.3373363614082336,0.005235716564364249,1.3799667358398438,0.005577087427633232
3,0.001,1.3351353406906128,0.002892045760860439,1.3794986009597778,0.005577087427633232
4,0.001,1.3254164457321167,0.0045262059796624,1.3783632516860962,0.005577087427633232
5,0.001,1.3171889781951904,0.005061437831136338,1.3759491443634033,0.005577087427633232
6,0.001,1.3079509735107422,0.00714668444298084,1.3723676204681396,0.005577087427633232
7,0.001,1.3048781156539917,0.00409038910749119,1.3683096170425415,0.005577087427633232
8,0.001,1.29631906747818,0.009516148237868262,1.364153504371643,0.005577087427633232
9,0.001,1.2898961305618286,0.00893977818751407,1.3579399585723877,0.005577087427633232
10,0.001,1.2846028804779053,0.010750614255166945,1.3504236936569214,0.005619013969242265
11,0.001,1.2786744236946106,0.009570219899941994,1.3418047428131104,0.005759790751090374
12,0.001,1.2726579904556274,0.006335126303797282,1.3334362506866455,1.3367554270483431e-10
13,0.001,1.2667229175567627,0.007443416868974685,1.3224475383758545,1.7155601274394235e-09
14,0.001,1.2637566924095154,0.007657199820552459,1.3115098476409912,2.6860059019983727e-09
15,0.001,1.2548953890800476,0.01252932262991522,1.3003976345062256,2.7525460975707512e-09
16,0.001,1.250226616859436,0.011095410464426412,1.2938697338104248,3.4411562166512175e-09
17,0.001,1.2437800168991089,0.010860395113839039,1.2854697704315186,4.37828369361522e-09
18,0.001,1.2408900260925293,0.01084245652287724,1.2775918245315552,4.4503782623481166e-09
19,0.001,1.241197109222412,0.008940412582700195,1.262023687362671,4.482294914915755e-09
20,0.001,1.2313576340675354,0.02164093712207687,1.249152660369873,4.5599634994985705e-09
21,0.001,1.2264699339866638,0.019758894178258636,1.248904824256897,4.5599634994985705e-09
22,0.001,1.223163664340973,0.021936172782455902,1.2475868463516235,4.5599634994985705e-09
23,0.001,1.2261276841163635,0.006531722367992175,1.2489174604415894,4.5599634994985705e-09
24,0.001,1.2173556685447693,0.01580234624170247,1.2399468421936035,4.5599634994985705e-09
25,0.001,1.2167695760726929,0.01200036107641076,1.236127257347107,4.5599634994985705e-09
26,0.001,1.2101450562477112,0.024503230795847316,1.226568579673767,4.5599634994985705e-09
27,0.001,1.2017765641212463,0.02670980646058113,1.223266839981079,4.5599634994985705e-09
28,0.001,1.2039417028427124,0.02572005308371667,1.2147780656814575,4.5599634994985705e-09
29,0.001,1.19953191280365,0.018571373199701098,1.20797598361969,4.5599634994985705e-09
30,0.001,1.201228380203247,0.011154972878993264,1.2084019184112549,4.5599634994985705e-09
31,0.001,1.1969507932662964,0.016863352702046308,1.2038800716400146,4.5599634994985705e-09
32,0.001,1.18583083152771,0.0032361984216279904,1.1994388103485107,4.5599634994985705e-09
33,0.001,1.1904898285865784,0.01648859264409691,1.1968804597854614,4.5599634994985705e-09
34,0.001,1.1832748055458069,0.03339789050000488,1.1986640691757202,4.5599634994985705e-09
35,0.001,1.1822587251663208,0.03312599916936935,1.1933841705322266,4.5599634994985705e-09
36,0.001,1.181373953819275,0.06997986363978193,1.1929378509521484,4.555808635281054e-09
37,0.001,1.1795860528945923,0.009783417834312212,1.1938679218292236,4.5495905161529096e-09
38,0.001,1.1737086772918701,0.06294245320286393,1.1925816535949707,4.480286718278285e-09
39,0.001,1.1711479425430298,0.0340934637502798,1.193725824356079,4.407227834256378e-09
40,0.001,1.1757220029830933,0.0015683857214317755,1.1918776035308838,4.2844901273158096e-09
41,0.001,1.1682776808738708,0.044668811058587214,1.1891790628433228,4.191114818981078e-09
42,0.001,1.1640267372131348,0.0951709488071215,1.1857938766479492,4.191114818981078e-09
43,0.001,1.1661192774772644,0.030721569872352843,1.1836731433868408,4.105090295135097e-09
44,0.001,1.1631457805633545,0.022419798725498284,1.1807985305786133,4.089979533374317e-09
45,0.001,1.1588234901428223,0.06347368120200626,1.1825268268585205,4.055150024107259e-09
46,0.001,1.1551499366760254,0.09405018141160595,1.1851962804794312,4.159733759734884e-09
47,0.001,1.1515737175941467,0.08142966284880339,1.1867001056671143,4.196391086041162e-09
48,0.001,1.1588824391365051,0.010520610587586198,1.1885151863098145,4.177109422819092e-09
49,0.001,1.1598063707351685,0.007485337639352721,1.1883904933929443,4.154549214148113e-09
50,0.001,1.1543378233909607,0.020837342190307695,1.1834169626235962,4.086636681296949e-09
51,0.001,1.1482500433921814,0.06303997012430902,1.1741241216659546,4.02414485302155e-09
52,0.001,1.152211606502533,0.05512598578986661,1.1625542640686035,3.957261559330188e-09
53,0.001,1.1452778577804565,0.12969118890459858,1.1563488245010376,0.0007776088616733714
54,0.001,1.1536656618118286,0.043007414522928895,1.1520814895629883,0.005773675882318414
55,0.001,1.1524568796157837,0.07214610835666666,1.1490861177444458,0.007302079141805998
56,0.001,1.1461815237998962,0.1820804593881694,1.1460700035095215,0.009174315714165458
57,0.001,1.1449045538902283,0.0620697043662623,1.1438019275665283,0.028396012937851062
58,0.001,1.146897554397583,0.09430876955354127,1.141636610031128,0.035067441098006004
59,0.001,1.1401728391647339,0.06281810649559985,1.1400914192199707,0.04525946529356432
60,0.001,1.1416473984718323,0.08779085224972238,1.138972520828247,0.07128634380212527
61,0.001,1.13792484998703,0.07600967510344656,1.1373966932296753,0.09708350340757689
62,0.001,1.1426599621772766,0.02670217340751696,1.1359031200408936,0.11177884971242447
63,0.001,1.1377347111701965,0.09448681339479134,1.1347460746765137,0.12484946156222615
64,0.001,1.1424731612205505,0.02369154922840158,1.1341196298599243,0.12845138403981038
65,0.001,1.1393232345581055,0.022799203997040503,1.133018136024475,0.12575819197024588
66,0.001,1.140420913696289,0.14990345223130294,1.131989598274231,0.1352327482534801
67,0.001,1.1332193613052368,0.11148197776108695,1.1313774585723877,0.14227971244025983
68,0.001,1.1347113847732544,0.10320693532009456,1.13051176071167,0.15406389343281884
69,0.001,1.1406853199005127,0.024303551062603693,1.1296864748001099,0.16361416701825734
70,0.001,1.1287761926651,0.14596391342523965,1.129606008529663,0.20179372522709446
71,0.001,1.129440724849701,0.14109995510930906,1.1286541223526,0.21228141841284495
72,0.001,1.1401196122169495,0.062187658765103696,1.127777338027954,0.21093431574486202
73,0.001,1.1325592994689941,0.01744351356876146,1.126514196395874,0.1931119344275853
74,0.001,1.1276708245277405,0.12134745364123921,1.1261122226715088,0.20802621126934392
75,0.001,1.1325348615646362,0.1117967931003096,1.1253997087478638,0.21224658993691933
76,0.001,1.1352503895759583,0.1128377831739302,1.12514066696167,0.20016611627837988
77,0.001,1.1272176504135132,0.12583971340712255,1.1251287460327148,0.22549834208680086
78,0.001,1.1325465440750122,0.08721604012070114,1.1248847246170044,0.22812111477345035
79,0.001,1.1269707083702087,0.15604107593302624,1.1251473426818848,0.23395445451778688
80,0.001,1.1352601647377014,0.20460105421869268,1.1237435340881348,0.23823286854569414
81,0.001,1.1342083811759949,0.14664010824199838,1.123128890991211,0.23558689657574905
82,0.001,1.1308549046516418,0.07721965009051619,1.1240615844726562,0.24627483755680943
83,0.001,1.1314775347709656,0.1716251198265798,1.1237212419509888,0.23880597330511613
84,0.001,1.1294874548912048,0.05770496765515368,1.1241432428359985,0.23791666984201384
85,0.001,1.1376376748085022,0.1612432981987085,1.1235567331314087,0.2380357917684736
86,0.001,1.1323019862174988,0.09323657594930643,1.1239739656448364,0.23783784100691122
87,0.001,1.1335575580596924,0.06613749109173225,1.124071478843689,0.2378580355423078
88,0.001,1.129166305065155,0.045507479197435294,1.1230735778808594,0.2398001696927553
89,0.001,1.1337730884552002,0.10044842678131764,1.1236830949783325,0.22878536094515237
90,0.001,1.1357386112213135,0.050465534374213375,1.1237976551055908,0.22588726836790282
91,0.001,1.1348323822021484,0.0452666943123403,1.1234428882598877,0.23799582781630133
92,0.001,1.1292206645011902,0.12534624001874858,1.1229698657989502,0.2295833365434027
93,0.001,1.1332222819328308,0.10931402842641337,1.1230767965316772,0.24917081571653887
94,0.001,1.1260513067245483,0.1360644418678992,1.1234729290008545,0.25155925467127127
95,0.001,1.1342623233795166,0.15693195350522965,1.1222807168960571,0.2570833364288194
96,0.001,1.131124496459961,0.17143654858599336,1.1220967769622803,0.2606713665119297
97,0.001,1.130470335483551,0.14555841789762516,1.1227777004241943,0.2578125030517578
98,0.001,1.129751980304718,0.10104483033438631,1.1229760646820068,0.26266340170480634
99,0.001,1.1301977038383484,0.06322752604602756,1.1233456134796143,0.2597296220412551
